"","dates","so2","no2","pm10","pm2.5","dates.1","Nephrology","G.I..Surgery","Orthopaedic","Cardiology","Psychiatry","Paediatric","Chronic.Obstructive.Pulmonary.Disease","Pneumonia","emphysema"
"20","2015-09-08",6,15.6666666666667,76.4166666666667,35.0833333333333,"2015-09-08",4,8,8,17,9,12,16,14,9
"21","2015-09-11",8.28571428571429,18.5714285714286,68,33.5714285714286,"2015-09-11",13,18,18,12,8,2,18,14,7
"22","2015-09-15",4.8,15.4,63.7333333333333,25.9333333333333,"2015-09-15",4,12,9,8,6,9,19,16,3
"23","2015-09-18",6.75,21.25,72.75,36.75,"2015-09-18",12,8,5,16,11,16,8,7,9
"24","2015-09-22",5.66666666666667,15.6666666666667,68.4166666666667,32.0833333333333,"2015-09-22",6,11,14,16,15,12,8,9,3
"25","2015-09-25",4.2,19,67.6,34.7,"2015-09-25",19,19,8,16,15,12,15,17,5
"26","2015-09-30",4,19.4,69.6,40.2,"2015-09-30",15,12,9,10,6,12,17,7,18
"27","2015-10-01",7.0625,17,96.375,43.125,"2015-10-01",8,8,17,18,18,9,6,11,13
"28","2015-10-06",5.92307692307692,15.7692307692308,83.6923076923077,38.3076923076923,"2015-10-06",4,9,3,21,19,16,7,19,5
"29","2015-10-09",5.33333333333333,22.8333333333333,83,46.3333333333333,"2015-10-09",9,14,14,23,8,10,14,19,18
"30","2015-10-13",5.64705882352941,16.2352941176471,88.0588235294118,38.2941176470588,"2015-10-13",7,8,18,18,7,9,8,7,11
"31","2015-10-16",6,16.2666666666667,79.1333333333333,33.6,"2015-10-16",17,11,6,8,8,10,4,15,18
"32","2015-10-20",10,19.7142857142857,106.428571428571,42,"2015-10-20",11,18,15,16,6,4,18,18,5
"33","2015-10-23",4.55555555555556,23.5555555555556,81.8888888888889,36.3333333333333,"2015-10-23",9,7,11,9,4,10,16,4,14
"34","2015-10-27",7.8,22.6,105.8,46.6,"2015-10-27",9,12,4,18,11,8,8,14,8
"35","2015-10-30",5.27272727272727,17.3636363636364,88.6363636363636,39.3636363636364,"2015-10-30",18,6,7,16,4,9,4,11,14
"36","2015-11-03",6.53846153846154,16.8461538461538,80.5384615384615,33.6153846153846,"2015-11-03",5,13,7,14,18,14,9,9,16
"37","2015-11-06",3.63636363636364,18.7272727272727,82.7272727272727,34.1818181818182,"2015-11-06",4,12,11,8,17,13,13,9,4
"38","2015-11-10",9,25.3333333333333,123.666666666667,68,"2015-11-10",7,18,17,17,7,14,17,13,10
"39","2015-11-13",6.9,16.5,134.4,51.2,"2015-11-13",7,21,12,19,8,7,9,7,10
"40","2015-11-17",6.58333333333333,16.0833333333333,99.0833333333333,35.3333333333333,"2015-11-17",8,8,14,15,15,10,13,17,3
"41","2015-11-20",6.25,21,109.25,44,"2015-11-20",11,10,18,8,11,3,15,5,15
"42","2015-11-24",5.6,24.4,96.4,52.2,"2015-11-24",9,10,3,17,8,13,4,5,12
"43","2015-11-27",6.44444444444444,19,101.888888888889,44.6666666666667,"2015-11-27",11,17,5,12,8,3,13,14,9
"44","2015-12-01",6.83333333333333,17.9166666666667,108.25,48.25,"2015-12-01",13,7,10,18,14,7,5,16,16
"45","2015-12-04",9,21.75,98.875,47.875,"2015-12-04",4,13,4,19,8,16,12,8,8
"46","2015-12-08",7.2,18.3,99.9,48.7,"2015-12-08",13,15,7,14,8,16,5,14,8
"47","2015-12-11",8.11111111111111,20.7777777777778,110.555555555556,50.4444444444444,"2015-12-11",14,21,7,14,7,7,15,18,15
"48","2015-12-15",6.16666666666667,17.3333333333333,112,43.3333333333333,"2015-12-15",6,9,6,10,7,16,11,11,4
"49","2015-12-18",7.44444444444444,20.1111111111111,107.555555555556,41.5555555555556,"2015-12-18",16,19,13,9,5,13,17,18,16
"50","2015-12-22",3.90909090909091,19.0909090909091,106.363636363636,47.8181818181818,"2015-12-22",7,15,13,17,9,7,18,10,12
"51","2015-12-25",8.33333333333333,27,132.333333333333,77,"2015-12-25",14,20,13,22,18,16,7,13,9
"52","2015-12-29",4.22222222222222,19.1111111111111,120.666666666667,53.7777777777778,"2015-12-29",17,10,18,11,15,10,7,8,13
"53","2015-01-01",6.2,18.8,90,49,"2015-01-01",16,20,7,12,12,10,14,15,11
"54","2015-01-05",7,18.625,108.75,54,"2015-01-05",18,9,10,8,17,13,11,14,9
"55","2015-01-08",6.625,17.875,104.75,59,"2015-01-08",19,12,6,13,14,10,9,6,10
"56","2015-01-12",6.77777777777778,17.4444444444444,121.333333333333,74.8888888888889,"2015-01-12",10,7,13,8,14,1,11,15,5
"57","2015-01-15",6,16,127.818181818182,74.1818181818182,"2015-01-15",16,18,9,9,16,14,13,19,13
"58","2015-01-19",4.8,18.4,103,58.4,"2015-01-19",7,13,6,18,18,9,14,19,4
"59","2015-01-22",5.22222222222222,17.7777777777778,118.555555555556,65.5555555555556,"2015-01-22",14,16,8,13,10,11,18,14,3
"60","2015-01-29",4.88888888888889,16.8888888888889,116.111111111111,60.1111111111111,"2015-01-29",16,20,6,21,7,11,13,12,7
"61","2015-02-02",4.8,15.8,112.1,59.4,"2015-02-02",8,10,8,7,7,11,6,3,11
"62","2015-02-05",5,17.625,110.25,68.25,"2015-02-05",11,9,15,1,11,8,7,13,1
"63","2015-02-09",4.36363636363636,16.1818181818182,105.727272727273,56.4545454545455,"2015-02-09",13,10,7,12,0,11,4,10,14
"64","2015-02-12",5.46153846153846,15.4615384615385,96.6923076923077,48.0769230769231,"2015-02-12",11,1,10,9,6,1,3,13,2
"65","2015-02-19",5,17.8571428571429,109,56.5714285714286,"2015-02-19",1,3,11,10,9,4,14,1,12
"66","2015-02-23",4.46153846153846,16.2307692307692,92.1538461538462,44.8461538461538,"2015-02-23",0,8,4,13,15,1,14,0,4
"67","2015-02-26",5,15.75,94.0833333333333,50.6666666666667,"2015-02-26",4,3,4,4,0,8,2,1,14
"68","2015-03-02",5.33333333333333,17.8888888888889,94.7777777777778,48.3333333333333,"2015-03-02",7,13,14,2,1,6,7,9,2
"69","2015-03-05",5.8,19.4,111.8,49.2,"2015-03-05",1,12,4,1,3,9,0,0,5
"70","2015-03-09",5.09090909090909,18.5454545454545,98.1818181818182,46.7272727272727,"2015-03-09",14,15,3,2,5,6,3,5,7
"71","2015-03-12",5.81818181818182,16.4545454545455,108.636363636364,48.8181818181818,"2015-03-12",4,6,12,2,2,9,1,12,11
"72","2015-03-16",4.53846153846154,17.7692307692308,99.3846153846154,45.3846153846154,"2015-03-16",11,1,7,6,3,4,8,6,6
"73","2015-03-19",5.09090909090909,16.7272727272727,108.181818181818,52.2727272727273,"2015-03-19",9,6,0,10,1,11,11,1,14
"74","2015-03-23",4.55555555555556,18.8888888888889,93.3333333333333,55.1111111111111,"2015-03-23",3,7,8,4,9,5,9,5,0
"75","2015-03-26",5.91666666666667,18.1666666666667,101.583333333333,46.4166666666667,"2015-03-26",14,13,1,12,5,11,3,1,14
"76","2015-03-30",6.4,17.5,100.2,50.9,"2015-03-30",1,12,10,2,7,8,4,7,6
"77","2015-04-02",5.22222222222222,16.3333333333333,107.888888888889,49.4444444444444,"2015-04-02",4,13,4,3,15,13,0,10,14
"78","2015-04-06",5.22222222222222,18.7777777777778,83.3333333333333,38.8888888888889,"2015-04-06",5,13,5,15,11,2,14,10,6
"79","2015-04-09",5.9,16.1,91.6,48,"2015-04-09",15,9,11,12,8,15,2,6,9
"80","2015-04-13",7,18.75,75.125,42.375,"2015-04-13",3,11,1,1,9,10,12,8,15
"81","2015-04-16",5.11111111111111,16.4444444444444,88,47.2222222222222,"2015-04-16",7,9,9,7,4,10,8,11,5
"82","2015-04-20",5.1,18.6,83,37.9,"2015-04-20",4,8,14,6,2,6,7,14,8
"83","2015-04-23",6,19.2857142857143,81.8571428571429,34.1428571428571,"2015-04-23",5,4,6,9,15,15,13,7,9
"84","2015-04-27",4.66666666666667,17.75,68.9166666666667,32.0833333333333,"2015-04-27",4,13,13,6,15,12,2,13,12
"85","2015-04-30",10.2,18.8,100,55,"2015-04-30",10,2,4,1,5,3,14,5,12
"86","2015-05-04",5.63636363636364,18.3636363636364,75.9090909090909,31.5454545454545,"2015-05-04",10,13,10,9,3,10,7,13,5
"87","2015-05-07",5.90909090909091,16.2727272727273,98.4545454545455,36.2727272727273,"2015-05-07",11,3,6,15,10,1,13,10,0
"88","2015-05-11",6.25,19.5,85.125,38.25,"2015-05-11",13,3,9,10,5,8,11,15,5
"89","2015-05-14",4.23076923076923,16.0769230769231,82.5384615384615,32.3846153846154,"2015-05-14",1,1,2,10,7,14,13,7,1
"90","2015-05-18",6.6,19.2,79.5,34.6,"2015-05-18",9,15,11,8,1,6,9,5,11
"91","2015-05-21",5.2,17.4,84.1,38.3,"2015-05-21",9,7,9,6,11,15,1,13,1
"92","2015-05-25",5.81818181818182,19.0909090909091,77.5454545454545,34.6363636363636,"2015-05-25",10,4,11,2,4,2,11,1,0
"93","2015-05-28",4.45454545454545,16.7272727272727,88.3636363636364,37.5454545454545,"2015-05-28",9,2,11,14,3,12,0,13,9
"94","2015-06-01",6,18.8571428571429,75.5714285714286,37.1428571428571,"2015-06-01",4,8,15,0,1,3,3,10,9
"95","2015-06-04",4,17.2727272727273,63.5454545454545,30.2727272727273,"2015-06-04",5,10,4,6,6,0,3,3,4
"96","2015-06-08",4.66666666666667,17.1666666666667,67.4166666666667,34.75,"2015-06-08",6,7,12,2,1,15,13,6,8
"97","2015-06-11",6.18181818181818,19.1818181818182,74.7272727272727,30.1818181818182,"2015-06-11",10,8,2,15,9,9,0,3,4
"98","2015-06-15",7,21.5,69.5,35,"2015-06-15",9,0,3,8,12,1,5,10,7
"99","2015-06-18",4.18181818181818,14.9090909090909,68.2727272727273,30.7272727272727,"2015-06-18",14,13,9,1,14,0,13,11,7
"100","2015-06-22",4.44444444444444,18.3333333333333,51.3333333333333,23.3333333333333,"2015-06-22",1,14,2,0,3,5,2,15,3
"101","2015-06-25",4.3,16.6,76.2,30.4,"2015-06-25",9,6,8,11,11,11,2,13,7
"102","2015-06-29",5.22222222222222,18.4444444444444,63.7777777777778,30,"2015-06-29",1,4,13,14,14,0,12,4,13
"103","2015-07-02",4.6,18.2,73.6,32.9,"2015-07-02",13,7,2,11,15,0,9,0,13
"104","2015-07-06",4.64285714285714,16.5714285714286,73.5,36.3571428571429,"2015-07-06",9,9,4,4,5,11,7,9,4
"105","2015-07-09",4.75,15.9166666666667,65.5,32.5,"2015-07-09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","2015-07-13",4.7,18.6,71.9,37.8,"2015-07-13",2,2,7,2,7,7,0,13,10
"107","2015-07-16",4.16666666666667,16.25,72.25,34.25,"2015-07-16",6,12,5,3,8,10,4,8,2
"108","2015-07-20",5.375,19,78.75,39.5,"2015-07-20",13,9,12,7,6,0,15,11,0
"109","2015-07-23",4.09090909090909,15.6363636363636,71.3636363636364,32.4545454545455,"2015-07-23",3,1,5,5,5,2,13,4,14
"110","2015-07-27",6.16666666666667,18.3333333333333,61.5,37.1666666666667,"2015-07-27",9,7,9,1,5,8,9,7,3
"111","2015-07-30",5.125,18.125,59.875,32.375,"2015-07-30",11,4,14,11,1,5,4,4,4
"112","2015-08-03",4.33333333333333,17.1111111111111,63.7777777777778,30.3333333333333,"2015-08-03",5,6,12,4,7,12,3,5,15
"113","2015-08-06",4.21428571428571,16.5714285714286,69.1428571428571,31.9285714285714,"2015-08-06",7,12,0,2,3,3,7,13,9
"114","2015-08-10",4.45454545454545,17.6363636363636,62.5454545454545,29.8181818181818,"2015-08-10",0,15,9,7,6,2,1,15,13
"115","2015-08-13",5,15.5454545454545,64.9090909090909,30.5454545454545,"2015-08-13",3,9,0,10,11,14,2,10,8
"116","2015-08-17",4.54545454545455,17,53.8181818181818,29.0909090909091,"2015-08-17",12,7,6,11,4,8,14,2,11
"117","2015-08-20",5.18181818181818,16.2727272727273,80,39.8181818181818,"2015-08-20",9,8,3,7,6,2,1,0,13
"118","2015-08-24",4.88888888888889,18.2222222222222,67.5555555555556,35.6666666666667,"2015-08-24",14,8,13,3,15,7,2,6,14
"119","2015-08-27",4.36363636363636,15.3636363636364,71.8181818181818,36,"2015-08-27",1,6,11,3,4,2,10,15,8
"120","2015-08-31",5.18181818181818,16.7272727272727,71.2727272727273,34.3636363636364,"2015-08-31",4,1,7,15,1,0,5,15,12
"121","2015-09-03",5.625,16.375,84.125,38.6875,"2015-09-03",7,12,13,7,12,0,4,14,0
"122","2015-09-07",5.18181818181818,16.3636363636364,82.8181818181818,35.8181818181818,"2015-09-07",5,12,8,13,4,2,3,10,12
"123","2015-09-10",4.4,17,85,35.9333333333333,"2015-09-10",15,15,6,8,11,2,9,3,2
"124","2015-09-14",6.875,17.75,73.875,37.375,"2015-09-14",14,11,4,12,3,3,6,10,13
"125","2015-09-17",8.5,22.75,80.75,37.25,"2015-09-17",14,9,9,1,10,14,8,4,0
"126","2015-09-21",5.36363636363636,16.9090909090909,77.6363636363636,33.4545454545455,"2015-09-21",8,1,2,9,6,7,8,1,13
"127","2015-09-24",6.83333333333333,15.3333333333333,88.5,38.5833333333333,"2015-09-24",0,13,9,7,7,7,12,6,13
"128","2015-09-28",5.63636363636364,18.0909090909091,81.5454545454545,36.4545454545455,"2015-09-28",2,9,8,5,9,3,1,9,3
"129","2015-10-05",6.33333333333333,18.6666666666667,84.6666666666667,38.8888888888889,"2015-10-05",1,13,12,8,2,14,15,13,10
"130","2015-10-08",5,16.25,92.3333333333333,39.6666666666667,"2015-10-08",8,1,14,7,9,12,12,8,6
"131","2015-10-12",7.83333333333333,21.6666666666667,91.6666666666667,45,"2015-10-12",15,8,4,5,1,4,10,7,5
"132","2015-10-15",5.66666666666667,15.2222222222222,80,37.6666666666667,"2015-10-15",7,4,7,14,9,12,6,5,14
"133","2015-10-19",4.71428571428571,16.7142857142857,82,38.1428571428571,"2015-10-19",0,14,3,0,14,1,0,0,13
"134","2015-10-22",8.2,18.8,96.2,56.4,"2015-10-22",5,12,0,8,13,3,8,8,11
"135","2015-10-26",5.71428571428571,20.2857142857143,82.8571428571429,42.4285714285714,"2015-10-26",6,1,12,6,5,7,1,12,2
"136","2015-10-29",5.25,21.875,74.25,37.5,"2015-10-29",6,6,1,3,0,14,6,4,1
"137","2015-11-02",5,19.0909090909091,97,44.8181818181818,"2015-11-02",4,14,2,3,5,13,8,3,13
"138","2015-11-05",10.5555555555556,18.4444444444444,93.2222222222222,39.7777777777778,"2015-11-05",4,12,0,15,6,3,2,3,0
"139","2015-11-09",5.77777777777778,20.1111111111111,104.222222222222,52.4444444444444,"2015-11-09",9,2,4,15,2,14,8,1,10
"140","2015-11-12",6,19.5,102.25,57.75,"2015-11-12",6,15,4,6,5,15,1,7,15
"141","2015-11-16",5,19.4166666666667,104.416666666667,51.0833333333333,"2015-11-16",11,11,2,4,1,12,12,7,6
"142","2015-11-19",4.71428571428571,17.5714285714286,116.785714285714,50.4285714285714,"2015-11-19",5,13,6,7,9,5,5,13,1
"143","2015-11-23",4.625,17.9375,111.9375,46.875,"2015-11-23",12,7,11,4,14,12,12,1,3
"144","2015-11-26",5.7,18,119,54.5,"2015-11-26",9,9,11,6,NA,NA,0,4,6
"145","2015-11-30",5.3,17.4,123.8,51,"2015-11-30",10,15,10,10,5,13,12,13,9
"146","2015-12-03",4.75,16.9166666666667,106.75,48.1666666666667,"2015-12-03",10,2,0,10,13,14,6,15,15
"147","2015-12-07",5.25,19.5833333333333,112.583333333333,48.3333333333333,"2015-12-07",8,13,13,1,13,15,3,8,10
"148","2015-12-10",5.3,17.4,119.9,56.5,"2015-12-10",10,11,2,9,15,1,14,10,7
"149","2015-12-14",5.88888888888889,18.4444444444444,105.666666666667,56.2222222222222,"2015-12-14",2,1,14,13,13,10,14,3,9
"150","2015-12-17",5.11111111111111,17.4444444444444,129.888888888889,64.7777777777778,"2015-12-17",3,5,4,15,10,4,14,10,7
"151","2015-12-21",5.77777777777778,19.5555555555556,96.4444444444444,49.8888888888889,"2015-12-21",5,14,12,8,7,1,7,6,11
"152","2015-12-24",6.125,19.75,106,53,"2015-12-24",7,9,7,6,6,11,6,8,0
"153","2015-12-28",8.25,19.25,119.25,54.5,"2015-12-28",3,15,13,3,7,6,6,6,7
"154","2015-12-31",5.45454545454545,20.6363636363636,136.454545454545,62.1818181818182,"2015-12-31",9,2,13,2,13,8,1,4,3
"155","2015-03-06",7.25,20,93.75,38.5,"2015-03-06",12,15,8,8,11,14,3,9,15
"156","2015-06-26",3.85714285714286,16.7142857142857,43.8571428571429,24.1428571428571,"2015-06-26",10,6,9,14,5,3,9,10,12
"157","2015-03-04",3,25,57,22.5,"2015-03-04",8,12,7,8,6,9,11,0,5
"158","2015-03-11",2.66666666666667,23,74.6666666666667,20,"2015-03-11",15,5,2,7,3,12,15,7,3
"159","2015-03-18",2.4,16.8,77.2,32,"2015-03-18",9,9,15,3,13,11,2,7,7
"160","2015-03-25",2.66666666666667,20.6666666666667,71,37.3333333333333,"2015-03-25",13,5,8,14,14,5,11,2,12
"161","2015-04-04",2.42857142857143,15.5714285714286,68.1428571428571,34.2857142857143,"2015-04-04",15,14,15,5,7,8,6,7,9
"162","2015-04-11",3.5,23.5,69,32,"2015-04-11",1,14,6,4,5,10,15,3,0
"163","2015-04-18",3,20.6666666666667,60.3333333333333,30,"2015-04-18",12,0,1,4,0,1,14,3,14
"164","2015-04-25",2.33333333333333,19,50.3333333333333,18,"2015-04-25",3,13,8,3,13,9,1,5,2
"165","2015-05-06",3,22.3333333333333,67.6666666666667,32,"2015-05-06",8,3,4,5,11,15,6,10,5
"166","2015-05-13",2.33333333333333,21,59.6666666666667,19,"2015-05-13",6,11,9,6,9,3,3,12,4
"167","2015-05-20",2.6,17.8,69.2,31.2,"2015-05-20",10,9,14,6,11,2,10,9,6
"168","2015-05-27",2.66666666666667,22.3333333333333,72.6666666666667,28.6666666666667,"2015-05-27",14,13,3,8,9,6,1,10,11
"169","2015-05-30",2.33333333333333,20.3333333333333,49.6666666666667,24,"2015-05-30",14,8,5,6,1,8,13,15,3
"170","2015-06-20",3.5,24,55,30.5,"2015-06-20",2,11,3,10,2,10,9,9,5
"171","2015-08-26",3,16.5,38.5,11,"2015-08-26",6,10,13,2,11,6,15,2,2
"172","2015-09-02",3,18,26,12,"2015-09-02",14,5,7,5,6,13,9,13,11
"173","2015-09-09",3.66666666666667,23,67,39.3333333333333,"2015-09-09",4,10,12,11,15,3,13,0,12
"174","2015-09-12",3,17,27,17,"2015-09-12",8,14,6,12,5,14,8,12,3
"175","2015-09-16",2.4,13.2,78.8,36,"2015-09-16",8,12,14,7,4,1,12,10,11
"176","2015-09-19",6.57142857142857,13.4285714285714,51.2857142857143,24.4285714285714,"2015-09-19",2,3,10,14,15,8,15,12,9
"177","2015-09-23",3,19,59.75,35.5,"2015-09-23",3,8,14,1,4,6,8,2,12
"178","2015-09-26",4,22,46,37,"2015-09-26",2,15,12,2,5,13,9,0,0
"179","2015-11-07",3.33333333333333,20,91,47,"2015-11-07",11,0,4,6,15,15,5,13,14
"180","2015-11-11",14.1666666666667,24.7777777777778,279.5,138,"2015-11-11",0,10,10,6,1,5,6,2,4
"181","2015-12-02",2.8,21,77.6,37.4,"2015-12-02",12,15,13,7,5,12,7,3,10
"182","2015-12-09",3.25,21.75,77.5,39,"2015-12-09",9,2,11,1,11,11,0,2,7
"183","2015-12-16",3,21.3333333333333,65.3333333333333,32.3333333333333,"2015-12-16",9,14,12,2,8,14,4,13,12
"184","2015-12-23",8.14285714285714,18,94.1428571428571,37.1428571428571,"2015-12-23",2,12,13,13,14,9,0,7,9
"185","2015-12-30",3.5,23.25,86,41,"2015-12-30",11,14,11,3,1,14,10,3,13
"186","2015-03-03",5.5,20.5,66.8333333333333,32.8333333333333,"2015-03-03",1,7,9,4,8,0,14,12,15
"187","2015-03-10",5,17.8333333333333,95,40.3333333333333,"2015-03-10",13,2,8,12,5,14,2,13,4
"188","2015-03-13",3.6,17.6,80.6,42,"2015-03-13",5,1,8,15,11,7,12,8,5
"189","2015-03-17",6.75,20.25,104.25,46.75,"2015-03-17",4,0,12,3,4,14,5,15,6
"190","2015-03-20",5.8,19,112,50.8,"2015-03-20",2,10,10,11,NA,NA,11,0,12
"191","2015-03-24",6,18.8333333333333,106,50.6666666666667,"2015-03-24",0,14,11,12,8,5,4,11,13
"192","2015-03-31",3.5,19.1666666666667,80,33.6666666666667,"2015-03-31",4,5,2,5,15,7,9,13,10
"193","2015-04-03",7,21.3333333333333,94.6666666666667,42.3333333333333,"2015-04-03",15,1,14,14,9,6,10,12,10
"194","2015-04-07",3.77777777777778,15.3333333333333,79.8888888888889,32,"2015-04-07",6,3,12,12,5,14,8,2,9
"195","2015-04-10",2.6,19.8,54.6,21.4,"2015-04-10",15,7,9,4,4,8,9,15,12
"196","2015-04-15",2.16666666666667,19.1666666666667,66.6666666666667,20.8333333333333,"2015-04-15",14,13,11,0,5,4,5,5,0
"197","2015-04-17",3.45454545454545,16.2727272727273,68.5454545454545,28.0909090909091,"2015-04-17",9,8,14,15,3,15,3,3,9
"198","2015-04-21",3.875,15.75,74.75,33,"2015-04-21",11,0,5,8,7,6,7,5,12
"199","2015-04-24",4.14285714285714,17.8571428571429,60.2857142857143,23.7142857142857,"2015-04-24",12,13,7,6,7,1,5,4,8
"200","2015-04-28",4.85714285714286,17.7142857142857,76.8571428571429,36.7142857142857,"2015-04-28",15,2,4,12,8,12,5,11,13
"201","2015-05-01",2.75,22.5,61.25,26.75,"2015-05-01",9,0,7,12,5,1,14,10,7
"202","2015-05-05",2.28571428571429,16.1428571428571,79.2857142857143,33.8571428571429,"2015-05-05",8,5,3,11,3,10,0,0,11
"203","2015-05-08",2.57142857142857,18.1428571428571,56.4285714285714,22.2857142857143,"2015-05-08",14,7,6,8,11,7,14,8,7
"204","2015-05-12",3.6,16.3,76.2,33.2,"2015-05-12",14,6,10,3,10,14,8,5,14
"205","2015-05-15",6.25,21.5,64,27.75,"2015-05-15",13,2,5,5,2,12,13,9,5
"206","2015-05-19",2.57142857142857,15.8571428571429,81.2857142857143,35.8571428571429,"2015-05-19",3,14,14,0,4,3,0,8,11
"207","2015-05-22",6,19.75,69.75,42.5,"2015-05-22",13,4,1,8,5,13,2,14,0
"208","2015-05-26",4.25,16,84.375,38.125,"2015-05-26",13,9,4,9,15,6,13,7,13
"209","2015-05-29",3.625,15,92.75,31.75,"2015-05-29",5,0,0,7,2,6,0,3,10
"210","2015-06-02",3,15.25,74.0833333333333,27.25,"2015-06-02",0,12,1,0,3,11,13,10,6
"211","2015-06-06",2.5,23.5,42,22.5,"2015-06-06",1,10,5,9,12,1,13,7,15
"212","2015-06-09",2.7,15.2,75.6,28.7,"2015-06-09",12,14,14,2,10,15,10,5,1
"213","2015-06-12",3,20.75,61.75,27.75,"2015-06-12",14,14,6,0,0,4,13,15,1
"214","2015-06-16",3.16666666666667,17.5,65.6666666666667,25.8333333333333,"2015-06-16",1,10,4,13,10,4,11,1,7
"215","2015-06-19",3.75,15.125,60.375,29.375,"2015-06-19",0,13,9,8,12,4,11,15,14
"216","2015-06-23",4.25,15.125,66.125,33,"2015-06-23",11,15,14,11,15,12,5,10,6
"217","2015-06-30",3.11111111111111,15.4444444444444,53,26.5555555555556,"2015-06-30",6,14,6,10,12,14,0,14,1
"218","2015-07-03",5.5,18.25,39,23,"2015-07-03",8,2,9,6,6,11,15,13,8
"219","2015-07-07",3.33333333333333,23,55,30.3333333333333,"2015-07-07",10,0,4,12,3,13,2,0,10
"220","2015-07-10",2.33333333333333,20.6666666666667,45.3333333333333,25.6666666666667,"2015-07-10",11,11,13,4,10,11,11,11,2
"221","2015-07-14",2.5,15.8333333333333,74,35.8333333333333,"2015-07-14",10,2,12,9,6,8,14,2,3
"222","2015-07-17",4.75,17.75,45.5,24.5,"2015-07-17",14,1,9,10,2,2,11,12,6
"223","2015-07-21",3.71428571428571,15,65.4285714285714,35.5714285714286,"2015-07-21",0,6,4,6,13,5,9,7,5
"224","2015-07-24",5,18.5,53.25,31.5,"2015-07-24",0,9,3,9,14,9,15,3,12
"225","2015-07-28",3.57142857142857,14.8571428571429,67.5714285714286,35.7142857142857,"2015-07-28",8,15,9,11,9,3,1,4,5
"226","2015-07-31",4.5,19.25,44.75,28,"2015-07-31",13,0,13,15,6,13,4,9,1
"227","2015-08-04",3.57142857142857,15,67.8571428571429,33.1428571428571,"2015-08-04",13,0,8,13,15,3,13,14,7
"228","2015-08-07",2.75,18.75,48.75,24,"2015-08-07",9,11,0,15,15,8,0,10,7
"229","2015-08-11",3.57142857142857,14.7142857142857,70.4285714285714,31,"2015-08-11",14,8,2,9,1,12,12,14,14
"230","2015-08-14",3.33333333333333,22.6666666666667,41.3333333333333,22,"2015-08-14",5,9,3,3,15,7,14,6,4
"231","2015-08-18",3.66666666666667,15.3333333333333,75.3333333333333,34.3333333333333,"2015-08-18",10,2,6,4,4,2,1,10,5
"232","2015-08-21",2.66666666666667,19.3333333333333,41.3333333333333,20.3333333333333,"2015-08-21",9,3,4,8,0,15,5,3,6
"233","2015-08-25",3.57142857142857,15.4285714285714,72.7142857142857,34.8571428571429,"2015-08-25",3,6,2,14,3,1,0,7,14
"234","2015-08-29",4.5,20,49.5,31.5,"2015-08-29",15,12,12,12,15,15,4,9,8
"235","2015-09-29",5,15.6363636363636,88.2727272727273,37.5454545454545,"2015-09-29",11,9,6,3,15,13,1,8,0
