dates,cases
16-02-15,"['Pneumonia', 'Bronchitis', 'Pneumonia', 'Bronchitis', 'heart problem', 'nausea', 'nausea', 'asthma', 'Bronchitis', 'nausea', 'heart problem', 'Bronchitis', 'Bronchitis', 'fever', 'fever', 'asthma', 'asthma', 'heart problem', 'nausea', 'heart problem']"
18-02-15,"['COPD', 'Bronchitis', 'asthma', 'fever', 'COPD', 'heart problem', 'Pneumonia', 'heart problem', 'fever', 'heart problem', 'Bronchitis', 'Bronchitis', 'fever', 'Bronchitis', 'Pneumonia', 'Pneumonia', 'Pneumonia', 'nausea', 'nausea', 'Bronchitis']"
25-02-15,"['Bronchitis', 'nausea', 'COPD', 'asthma', 'asthma', 'heart problem', 'asthma', 'Bronchitis', 'nausea', 'Pneumonia', 'heart problem', 'fever', 'asthma', 'nausea', 'fever', 'nausea', 'COPD', 'Pneumonia', 'Pneumonia', 'Pneumonia']"
28-02-15,"['fever', 'heart problem', 'Bronchitis', 'fever', 'COPD', 'nausea', 'Bronchitis', 'Pneumonia', 'Bronchitis', 'COPD', 'nausea', 'heart problem', 'Pneumonia', 'COPD', 'Pneumonia', 'Bronchitis', 'Bronchitis', 'nausea', 'Pneumonia', 'asthma']"
01-09-15,"['asthma', 'nausea', 'Bronchitis', 'COPD', 'heart problem', 'fever', 'Pneumonia', 'Bronchitis', 'heart problem', 'Bronchitis', 'fever', 'Bronchitis', 'Bronchitis', 'asthma', 'asthma', 'asthma', 'COPD', 'COPD', 'nausea', 'asthma']"
04-09-15,"['Bronchitis', 'fever', 'COPD', 'Bronchitis', 'Pneumonia', 'heart problem', 'Pneumonia', 'nausea', 'asthma', 'heart problem', 'asthma', 'COPD', 'fever', 'fever', 'heart problem', 'nausea', 'COPD', 'nausea', 'COPD', 'asthma']"
08-09-15,"['heart problem', 'asthma', 'nausea', 'fever', 'asthma', 'heart problem', 'asthma', 'nausea', 'fever', 'Pneumonia', 'asthma', 'fever', 'asthma', 'asthma', 'nausea', 'asthma', 'COPD', 'nausea', 'asthma', 'nausea']"
11-09-15,"['asthma', 'asthma', 'heart problem', 'Bronchitis', 'Pneumonia', 'heart problem', 'Bronchitis', 'Pneumonia', 'COPD', 'Pneumonia', 'heart problem', 'fever', 'asthma', 'asthma', 'Bronchitis', 'nausea', 'asthma', 'Pneumonia', 'COPD', 'heart problem']"
15-09-15,"['COPD', 'Pneumonia', 'asthma', 'heart problem', 'fever', 'fever', 'nausea', 'Bronchitis', 'nausea', 'nausea', 'Pneumonia', 'Pneumonia', 'asthma', 'heart problem', 'heart problem', 'Pneumonia', 'nausea', 'COPD', 'COPD', 'Pneumonia']"
18-09-15,"['fever', 'fever', 'Bronchitis', 'COPD', 'heart problem', 'heart problem', 'nausea', 'heart problem', 'heart problem', 'Pneumonia', 'asthma', 'fever', 'Pneumonia', 'COPD', 'heart problem', 'COPD', 'COPD', 'heart problem', 'Bronchitis', 'COPD']"
22-09-15,"['nausea', 'asthma', 'heart problem', 'heart problem', 'nausea', 'asthma', 'heart problem', 'Bronchitis', 'Pneumonia', 'Pneumonia', 'Bronchitis', 'nausea', 'COPD', 'heart problem', 'asthma', 'nausea', 'asthma', 'COPD', 'Bronchitis', 'fever']"
25-09-15,"['asthma', 'fever', 'heart problem', 'heart problem', 'fever', 'COPD', 'fever', 'Pneumonia', 'COPD', 'asthma', 'Bronchitis', 'nausea', 'fever', 'Bronchitis', 'heart problem', 'asthma', 'asthma', 'COPD', 'nausea', 'fever']"
30-09-15,"['Pneumonia', 'nausea', 'asthma', 'nausea', 'fever', 'nausea', 'asthma', 'Bronchitis', 'Bronchitis', 'Pneumonia', 'nausea', 'fever', 'COPD', 'asthma', 'Pneumonia', 'asthma', 'asthma', 'heart problem', 'nausea', 'heart problem']"
01-10-15,"['Bronchitis', 'asthma', 'heart problem', 'Bronchitis', 'heart problem', 'heart problem', 'heart problem', 'Pneumonia', 'COPD', 'fever', 'fever', 'heart problem', 'asthma', 'heart problem', 'COPD', 'fever', 'Bronchitis', 'fever', 'Pneumonia', 'Pneumonia']"
06-10-15,"['Bronchitis', 'nausea', 'Pneumonia', 'Pneumonia', 'asthma', 'Pneumonia', 'fever', 'nausea', 'fever', 'COPD', 'asthma', 'COPD', 'COPD', 'nausea', 'Bronchitis', 'asthma', 'COPD', 'COPD', 'heart problem', 'Pneumonia']"
09-10-15,"['fever', 'fever', 'Bronchitis', 'Bronchitis', 'fever', 'fever', 'fever', 'nausea', 'asthma', 'nausea', 'fever', 'Bronchitis', 'Bronchitis', 'Bronchitis', 'Bronchitis', 'COPD', 'Pneumonia', 'fever', 'asthma', 'nausea']"
13-10-15,"['fever', 'heart problem', 'Bronchitis', 'Pneumonia', 'heart problem', 'fever', 'Bronchitis', 'COPD', 'heart problem', 'Bronchitis', 'nausea', 'fever', 'heart problem', 'nausea', 'nausea', 'heart problem', 'nausea', 'Pneumonia', 'heart problem', 'asthma']"
16-10-15,"['Pneumonia', 'COPD', 'fever', 'Pneumonia', 'nausea', 'asthma', 'asthma', 'heart problem', 'nausea', 'COPD', 'Pneumonia', 'COPD', 'nausea', 'nausea', 'Bronchitis', 'Pneumonia', 'Pneumonia', 'Pneumonia', 'heart problem', 'asthma']"
20-10-15,"['Bronchitis', 'COPD', 'Bronchitis', 'fever', 'fever', 'asthma', 'Bronchitis', 'Pneumonia', 'COPD', 'COPD', 'COPD', 'Bronchitis', 'heart problem', 'Bronchitis', 'fever', 'fever', 'heart problem', 'Bronchitis', 'asthma', 'Bronchitis']"
23-10-15,"['fever', 'asthma', 'heart problem', 'nausea', 'Pneumonia', 'COPD', 'Bronchitis', 'nausea', 'fever', 'fever', 'asthma', 'Pneumonia', 'Bronchitis', 'Pneumonia', 'fever', 'asthma', 'heart problem', 'Bronchitis', 'heart problem', 'COPD']"
27-10-15,"['fever', 'Bronchitis', 'Pneumonia', 'Bronchitis', 'COPD', 'COPD', 'nausea', 'asthma', 'Pneumonia', 'asthma', 'nausea', 'fever', 'nausea', 'nausea', 'COPD', 'Pneumonia', 'Pneumonia', 'asthma', 'Bronchitis', 'heart problem']"
30-10-15,"['COPD', 'COPD', 'Bronchitis', 'asthma', 'Bronchitis', 'Bronchitis', 'Bronchitis', 'heart problem', 'COPD', 'COPD', 'Pneumonia', 'nausea', 'nausea', 'heart problem', 'COPD', 'Pneumonia', 'fever', 'heart problem', 'fever', 'fever']"
03-11-15,"['COPD', 'Pneumonia', 'heart problem', 'heart problem', 'heart problem', 'COPD', 'nausea', 'COPD', 'Bronchitis', 'Bronchitis', 'asthma', 'Bronchitis', 'heart problem', 'fever', 'Bronchitis', 'asthma', 'asthma', 'nausea', 'COPD', 'Pneumonia']"
06-11-15,"['asthma', 'fever', 'Pneumonia', 'Bronchitis', 'heart problem', 'nausea', 'heart problem', 'nausea', 'COPD', 'COPD', 'nausea', 'fever', 'asthma', 'Bronchitis', 'COPD', 'fever', 'Pneumonia', 'nausea', 'Bronchitis', 'Pneumonia']"
10-11-15,"['fever', 'asthma', 'asthma', 'Bronchitis', 'Bronchitis', 'COPD', 'Bronchitis', 'fever', 'asthma', 'COPD', 'COPD', 'Bronchitis', 'Bronchitis', 'heart problem', 'nausea', 'asthma', 'heart problem', 'COPD', 'asthma', 'COPD']"
13-11-15,"['Pneumonia', 'nausea', 'asthma', 'Bronchitis', 'Pneumonia', 'heart problem', 'COPD', 'Bronchitis', 'heart problem', 'COPD', 'Pneumonia', 'fever', 'fever', 'COPD', 'Bronchitis', 'fever', 'fever', 'Pneumonia', 'heart problem', 'nausea']"
17-11-15,"['nausea', 'asthma', 'COPD', 'COPD', 'COPD', 'heart problem', 'nausea', 'COPD', 'COPD', 'Pneumonia', 'fever', 'heart problem', 'asthma', 'Bronchitis', 'fever', 'heart problem', 'asthma', 'heart problem', 'Bronchitis', 'asthma']"
20-11-15,"['Bronchitis', 'asthma', 'asthma', 'Pneumonia', 'fever', 'Pneumonia', 'heart problem', 'heart problem', 'Bronchitis', 'Pneumonia', 'fever', 'Pneumonia', 'COPD', 'COPD', 'Bronchitis', 'heart problem', 'Pneumonia', 'fever', 'heart problem', 'asthma']"
24-11-15,"['heart problem', 'heart problem', 'heart problem', 'heart problem', 'Pneumonia', 'asthma', 'fever', 'asthma', 'heart problem', 'heart problem', 'Pneumonia', 'fever', 'nausea', 'heart problem', 'Pneumonia', 'Bronchitis', 'Bronchitis', 'Bronchitis', 'heart problem', 'fever']"
27-11-15,"['heart problem', 'COPD', 'asthma', 'heart problem', 'asthma', 'asthma', 'COPD', 'Pneumonia', 'asthma', 'Pneumonia', 'nausea', 'COPD', 'Pneumonia', 'nausea', 'Bronchitis', 'Bronchitis', 'nausea', 'heart problem', 'asthma', 'Pneumonia']"
01-12-15,"['Pneumonia', 'Bronchitis', 'Pneumonia', 'heart problem', 'asthma', 'fever', 'nausea', 'fever', 'asthma', 'Bronchitis', 'asthma', 'Bronchitis', 'asthma', 'asthma', 'Bronchitis', 'heart problem', 'Bronchitis', 'nausea', 'asthma', 'Pneumonia']"
04-12-15,"['nausea', 'asthma', 'COPD', 'fever', 'heart problem', 'COPD', 'asthma', 'fever', 'Pneumonia', 'Pneumonia', 'Bronchitis', 'Bronchitis', 'Pneumonia', 'fever', 'nausea', 'asthma', 'COPD', 'nausea', 'heart problem', 'nausea']"
08-12-15,"['nausea', 'fever', 'fever', 'Bronchitis', 'heart problem', 'Bronchitis', 'nausea', 'Pneumonia', 'Bronchitis', 'asthma', 'fever', 'nausea', 'Bronchitis', 'asthma', 'Pneumonia', 'nausea', 'nausea', 'COPD', 'nausea', 'asthma']"
11-12-15,"['nausea', 'COPD', 'fever', 'Bronchitis', 'Bronchitis', 'fever', 'fever', 'nausea', 'asthma', 'COPD', 'COPD', 'Bronchitis', 'Pneumonia', 'nausea', 'Bronchitis', 'Pneumonia', 'nausea', 'heart problem', 'heart problem', 'asthma']"
15-12-15,"['fever', 'fever', 'asthma', 'nausea', 'nausea', 'fever', 'asthma', 'asthma', 'heart problem', 'fever', 'Pneumonia', 'Pneumonia', 'COPD', 'nausea', 'Bronchitis', 'heart problem', 'nausea', 'Bronchitis', 'asthma', 'Bronchitis']"
18-12-15,"['Bronchitis', 'heart problem', 'Bronchitis', 'COPD', 'COPD', 'fever', 'COPD', 'fever', 'Bronchitis', 'heart problem', 'asthma', 'nausea', 'COPD', 'fever', 'Bronchitis', 'asthma', 'Bronchitis', 'heart problem', 'asthma', 'asthma']"
22-12-15,"['nausea', 'COPD', 'heart problem', 'heart problem', 'nausea', 'heart problem', 'asthma', 'fever', 'fever', 'heart problem', 'Bronchitis', 'heart problem', 'nausea', 'heart problem', 'fever', 'nausea', 'nausea', 'fever', 'Bronchitis', 'COPD']"
25-12-15,"['asthma', 'nausea', 'COPD', 'COPD', 'COPD', 'fever', 'nausea', 'fever', 'nausea', 'Pneumonia', 'COPD', 'nausea', 'fever', 'asthma', 'asthma', 'fever', 'COPD', 'Pneumonia', 'asthma', 'asthma']"
29-12-15,"['heart problem', 'fever', 'heart problem', 'nausea', 'heart problem', 'Bronchitis', 'fever', 'Pneumonia', 'Pneumonia', 'heart problem', 'Bronchitis', 'fever', 'Bronchitis', 'Bronchitis', 'fever', 'Bronchitis', 'COPD', 'Pneumonia', 'fever', 'heart problem']"
01-01-15,"['asthma', 'Pneumonia', 'Bronchitis', 'heart problem', 'nausea', 'Pneumonia', 'Pneumonia', 'Pneumonia', 'nausea', 'nausea', 'COPD', 'nausea', 'Bronchitis', 'COPD', 'COPD', 'asthma', 'Bronchitis', 'fever', 'nausea', 'heart problem']"
05-01-15,"['heart problem', 'asthma', 'asthma', 'nausea', 'nausea', 'asthma', 'fever', 'asthma', 'Pneumonia', 'nausea', 'Pneumonia', 'fever', 'COPD', 'Bronchitis', 'Bronchitis', 'asthma', 'Bronchitis', 'nausea', 'Pneumonia', 'fever']"
08-01-15,"['Bronchitis', 'Pneumonia', 'nausea', 'fever', 'COPD', 'COPD', 'asthma', 'fever', 'asthma', 'nausea', 'heart problem', 'COPD', 'Bronchitis', 'Bronchitis', 'Pneumonia', 'nausea', 'asthma', 'Bronchitis', 'Bronchitis', 'Pneumonia']"
12-01-15,"['nausea', 'fever', 'fever', 'nausea', 'fever', 'fever', 'asthma', 'heart problem', 'Bronchitis', 'Bronchitis', 'Bronchitis', 'fever', 'heart problem', 'heart problem', 'fever', 'COPD', 'nausea', 'Bronchitis', 'fever', 'Bronchitis']"
15-01-15,"['nausea', 'fever', 'asthma', 'heart problem', 'COPD', 'fever', 'Pneumonia', 'Bronchitis', 'asthma', 'Bronchitis', 'COPD', 'asthma', 'Bronchitis', 'asthma', 'nausea', 'COPD', 'heart problem', 'Pneumonia', 'fever', 'Bronchitis']"
19-01-15,"['asthma', 'COPD', 'fever', 'asthma', 'COPD', 'heart problem', 'Pneumonia', 'fever', 'Bronchitis', 'nausea', 'Bronchitis', 'Pneumonia', 'fever', 'asthma', 'Pneumonia', 'Pneumonia', 'fever', 'Bronchitis', 'heart problem', 'COPD']"
22-01-15,"['heart problem', 'asthma', 'heart problem', 'heart problem', 'fever', 'COPD', 'nausea', 'fever', 'Pneumonia', 'heart problem', 'COPD', 'Pneumonia', 'Bronchitis', 'fever', 'fever', 'heart problem', 'asthma', 'nausea', 'fever', 'heart problem']"
27-01-15,"['asthma', 'nausea', 'heart problem', 'fever', 'Bronchitis', 'nausea', 'COPD', 'nausea', 'heart problem', 'asthma', 'heart problem', 'Pneumonia', 'COPD', 'COPD', 'asthma', 'heart problem', 'Pneumonia', 'Bronchitis', 'Bronchitis', 'Pneumonia']"
29-01-15,"['asthma', 'Pneumonia', 'nausea', 'Pneumonia', 'fever', 'asthma', 'COPD', 'heart problem', 'Bronchitis', 'fever', 'fever', 'Pneumonia', 'nausea', 'Pneumonia', 'asthma', 'Pneumonia', 'nausea', 'asthma', 'nausea', 'heart problem']"
02-02-15,"['fever', 'heart problem', 'nausea', 'Pneumonia', 'asthma', 'heart problem', 'asthma', 'COPD', 'nausea', 'Bronchitis', 'Pneumonia', 'Bronchitis', 'asthma', 'nausea', 'Bronchitis', 'asthma', 'fever', 'asthma', 'fever', 'nausea']"
05-02-15,"['Bronchitis', 'Pneumonia', 'Pneumonia', 'heart problem', 'COPD', 'nausea', 'heart problem', 'COPD', 'Pneumonia', 'COPD', 'Pneumonia', 'Pneumonia', 'nausea', 'heart problem', 'Pneumonia', 'Pneumonia', 'nausea', 'nausea', 'nausea', 'nausea']"
09-02-15,"['asthma', 'Bronchitis', 'nausea', 'COPD', 'asthma', 'asthma', 'Pneumonia', 'heart problem', 'heart problem', 'Pneumonia', 'nausea', 'Bronchitis', 'Pneumonia', 'nausea', 'asthma', 'fever', 'heart problem', 'asthma', 'nausea', 'asthma']"
12-02-15,"['asthma', 'Bronchitis', 'Bronchitis', 'asthma', 'COPD', 'COPD', 'heart problem', 'heart problem', 'nausea', 'fever', 'asthma', 'nausea', 'COPD', 'Bronchitis', 'heart problem', 'nausea', 'nausea', 'fever', 'asthma', 'heart problem']"
16-02-15,"['asthma', 'Bronchitis', 'heart problem', 'nausea', 'nausea', 'nausea', 'Pneumonia', 'Pneumonia', 'COPD', 'Pneumonia', 'heart problem', 'COPD', 'fever', 'asthma', 'asthma', 'nausea', 'heart problem', 'COPD', 'Pneumonia', 'COPD']"
19-02-15,"['Bronchitis', 'asthma', 'fever', 'heart problem', 'COPD', 'asthma', 'heart problem', 'nausea', 'Pneumonia', 'nausea', 'fever', 'Pneumonia', 'heart problem', 'Pneumonia', 'fever', 'heart problem', 'heart problem', 'COPD', 'heart problem', 'COPD']"
23-02-15,"['nausea', 'Bronchitis', 'asthma', 'asthma', 'fever', 'COPD', 'asthma', 'COPD', 'COPD', 'fever', 'nausea', 'Bronchitis', 'fever', 'fever', 'Pneumonia', 'heart problem', 'fever', 'asthma', 'heart problem', 'asthma']"
26-02-15,"['Pneumonia', 'Bronchitis', 'Pneumonia', 'Bronchitis', 'Pneumonia', 'heart problem', 'heart problem', 'fever', 'Pneumonia', 'fever', 'COPD', 'fever', 'heart problem', 'nausea', 'heart problem', 'asthma', 'nausea', 'heart problem', 'fever', 'asthma']"
02-03-15,"['heart problem', 'COPD', 'nausea', 'asthma', 'COPD', 'heart problem', 'Pneumonia', 'Bronchitis', 'Bronchitis', 'nausea', 'Pneumonia', 'fever', 'fever', 'heart problem', 'heart problem', 'COPD', 'nausea', 'nausea', 'asthma', 'COPD']"
05-03-15,"['nausea', 'fever', 'asthma', 'heart problem', 'asthma', 'Bronchitis', 'Pneumonia', 'Bronchitis', 'COPD', 'fever', 'asthma', 'nausea', 'Pneumonia', 'COPD', 'Bronchitis', 'nausea', 'Bronchitis', 'nausea', 'asthma', 'fever']"
09-03-15,"['COPD', 'asthma', 'nausea', 'Bronchitis', 'asthma', 'nausea', 'COPD', 'COPD', 'Pneumonia', 'heart problem', 'nausea', 'COPD', 'nausea', 'nausea', 'Bronchitis', 'COPD', 'Pneumonia', 'COPD', 'Bronchitis', 'fever']"
12-03-15,"['COPD', 'COPD', 'heart problem', 'Bronchitis', 'Bronchitis', 'COPD', 'Bronchitis', 'Pneumonia', 'nausea', 'Bronchitis', 'asthma', 'COPD', 'nausea', 'fever', 'COPD', 'COPD', 'nausea', 'Bronchitis', 'heart problem', 'COPD']"
16-03-15,"['nausea', 'fever', 'COPD', 'Bronchitis', 'nausea', 'heart problem', 'heart problem', 'fever', 'fever', 'COPD', 'Bronchitis', 'fever', 'Bronchitis', 'COPD', 'asthma', 'COPD', 'heart problem', 'heart problem', 'COPD', 'asthma']"
19-03-15,"['heart problem', 'heart problem', 'Bronchitis', 'fever', 'fever', 'asthma', 'Bronchitis', 'fever', 'COPD', 'asthma', 'Bronchitis', 'Pneumonia', 'Pneumonia', 'heart problem', 'Bronchitis', 'Bronchitis', 'Bronchitis', 'fever', 'COPD', 'asthma']"
23-03-15,"['COPD', 'heart problem', 'COPD', 'Bronchitis', 'COPD', 'heart problem', 'Bronchitis', 'Pneumonia', 'heart problem', 'heart problem', 'asthma', 'Pneumonia', 'heart problem', 'fever', 'fever', 'heart problem', 'Bronchitis', 'asthma', 'asthma', 'COPD']"
26-03-15,"['asthma', 'asthma', 'heart problem', 'heart problem', 'Pneumonia', 'asthma', 'fever', 'fever', 'COPD', 'fever', 'Bronchitis', 'Bronchitis', 'asthma', 'Pneumonia', 'Pneumonia', 'nausea', 'fever', 'COPD', 'heart problem', 'COPD']"
30-03-15,"['nausea', 'COPD', 'Pneumonia', 'heart problem', 'COPD', 'fever', 'Pneumonia', 'COPD', 'asthma', 'COPD', 'Pneumonia', 'fever', 'Pneumonia', 'fever', 'COPD', 'Bronchitis', 'asthma', 'Pneumonia', 'COPD', 'fever']"
02-04-15,"['Bronchitis', 'fever', 'fever', 'heart problem', 'Pneumonia', 'asthma', 'Pneumonia', 'Pneumonia', 'heart problem', 'nausea', 'nausea', 'fever', 'nausea', 'Pneumonia', 'fever', 'nausea', 'Bronchitis', 'fever', 'heart problem', 'heart problem']"
06-04-15,"['Pneumonia', 'nausea', 'Bronchitis', 'fever', 'COPD', 'Pneumonia', 'Pneumonia', 'Pneumonia', 'heart problem', 'Bronchitis', 'Bronchitis', 'nausea', 'heart problem', 'heart problem', 'COPD', 'Pneumonia', 'COPD', 'Pneumonia', 'fever', 'Bronchitis']"
09-04-15,"['fever', 'fever', 'Bronchitis', 'nausea', 'asthma', 'fever', 'nausea', 'Bronchitis', 'nausea', 'COPD', 'nausea', 'nausea', 'asthma', 'fever', 'asthma', 'COPD', 'asthma', 'COPD', 'asthma', 'asthma']"
13-04-15,"['heart problem', 'nausea', 'COPD', 'Bronchitis', 'asthma', 'heart problem', 'Bronchitis', 'fever', 'Pneumonia', 'Pneumonia', 'heart problem', 'Bronchitis', 'nausea', 'fever', 'asthma', 'COPD', 'fever', 'Bronchitis', 'asthma', 'heart problem']"
16-04-15,"['nausea', 'Bronchitis', 'heart problem', 'Pneumonia', 'Pneumonia', 'nausea', 'asthma', 'fever', 'asthma', 'Pneumonia', 'nausea', 'COPD', 'fever', 'nausea', 'Pneumonia', 'COPD', 'heart problem', 'COPD', 'Pneumonia', 'nausea']"
20-04-15,"['Pneumonia', 'asthma', 'Pneumonia', 'Pneumonia', 'COPD', 'Pneumonia', 'COPD', 'fever', 'Pneumonia', 'Pneumonia', 'nausea', 'COPD', 'Bronchitis', 'fever', 'Bronchitis', 'nausea', 'COPD', 'fever', 'Pneumonia', 'Pneumonia']"
23-04-15,"['nausea', 'nausea', 'nausea', 'asthma', 'asthma', 'Bronchitis', 'asthma', 'nausea', 'Pneumonia', 'Bronchitis', 'nausea', 'Bronchitis', 'nausea', 'heart problem', 'Pneumonia', 'COPD', 'Bronchitis', 'asthma', 'asthma', 'asthma']"
27-04-15,"['Pneumonia', 'fever', 'Pneumonia', 'Pneumonia', 'heart problem', 'Pneumonia', 'fever', 'Pneumonia', 'nausea', 'Bronchitis', 'nausea', 'Pneumonia', 'heart problem', 'nausea', 'Bronchitis', 'Bronchitis', 'Pneumonia', 'Pneumonia', 'nausea', 'asthma']"
30-04-15,"['nausea', 'COPD', 'nausea', 'nausea', 'heart problem', 'COPD', 'Pneumonia', 'Bronchitis', 'COPD', 'Bronchitis', 'asthma', 'heart problem', 'asthma', 'asthma', 'Bronchitis', 'COPD', 'nausea', 'Bronchitis', 'Bronchitis', 'fever']"
04-05-15,"['heart problem', 'fever', 'Pneumonia', 'asthma', 'Pneumonia', 'asthma', 'asthma', 'asthma', 'nausea', 'Pneumonia', 'heart problem', 'COPD', 'nausea', 'nausea', 'nausea', 'fever', 'Bronchitis', 'nausea', 'COPD', 'Bronchitis']"
07-05-15,"['Pneumonia', 'Bronchitis', 'asthma', 'Bronchitis', 'asthma', 'asthma', 'asthma', 'nausea', 'heart problem', 'Bronchitis', 'fever', 'Bronchitis', 'fever', 'Bronchitis', 'nausea', 'COPD', 'heart problem', 'fever', 'COPD', 'fever']"
11-05-15,"['Pneumonia', 'fever', 'COPD', 'Pneumonia', 'COPD', 'Pneumonia', 'nausea', 'COPD', 'COPD', 'heart problem', 'COPD', 'nausea', 'COPD', 'COPD', 'nausea', 'COPD', 'fever', 'Pneumonia', 'fever', 'COPD']"
14-05-15,"['COPD', 'COPD', 'fever', 'asthma', 'Bronchitis', 'fever', 'asthma', 'COPD', 'asthma', 'Bronchitis', 'asthma', 'nausea', 'Pneumonia', 'fever', 'fever', 'heart problem', 'Bronchitis', 'COPD', 'nausea', 'COPD']"
18-05-15,"['asthma', 'Bronchitis', 'Bronchitis', 'fever', 'nausea', 'asthma', 'COPD', 'Bronchitis', 'Bronchitis', 'fever', 'asthma', 'Pneumonia', 'nausea', 'nausea', 'Bronchitis', 'COPD', 'Bronchitis', 'COPD', 'asthma', 'asthma']"
21-05-15,"['asthma', 'Bronchitis', 'asthma', 'Pneumonia', 'nausea', 'Bronchitis', 'COPD', 'heart problem', 'COPD', 'fever', 'heart problem', 'nausea', 'heart problem', 'COPD', 'nausea', 'asthma', 'Bronchitis', 'heart problem', 'Pneumonia', 'nausea']"
25-05-15,"['nausea', 'heart problem', 'Bronchitis', 'COPD', 'nausea', 'Pneumonia', 'nausea', 'heart problem', 'Pneumonia', 'heart problem', 'Bronchitis', 'COPD', 'fever', 'nausea', 'Pneumonia', 'fever', 'COPD', 'nausea', 'Pneumonia', 'Pneumonia']"
28-05-15,"['heart problem', 'nausea', 'Bronchitis', 'heart problem', 'heart problem', 'fever', 'Bronchitis', 'fever', 'nausea', 'Bronchitis', 'asthma', 'Pneumonia', 'asthma', 'heart problem', 'Pneumonia', 'heart problem', 'nausea', 'Pneumonia', 'Pneumonia', 'Bronchitis']"
01-06-15,"['COPD', 'nausea', 'Pneumonia', 'asthma', 'fever', 'asthma', 'nausea', 'COPD', 'Bronchitis', 'Bronchitis', 'heart problem', 'nausea', 'Bronchitis', 'COPD', 'fever', 'fever', 'Pneumonia', 'nausea', 'heart problem', 'Pneumonia']"
