"","dates","Nephrology","G.I..Surgery","Orthopaedic","Cardiology","Psychiatry","Paediatric","Chronic.Obstructive.Pulmonary.Disease","Pneumonia","emphysema"
"215",2015-08-03,0,13,9,8,12,4,11,15,14
"216",2015-08-04,11,15,14,11,15,12,5,10,6
"217",2015-08-05,6,14,6,10,12,14,0,14,1
"218",2015-08-06,8,2,9,6,6,11,15,13,8
"219",2015-08-07,10,0,4,12,3,13,2,0,10
"220",2015-08-08,11,11,13,4,10,11,11,11,2
"221",2015-08-09,10,2,12,9,6,8,14,2,3
"222",2015-08-10,14,1,9,10,2,2,11,12,6
"223",2015-08-11,0,6,4,6,13,5,9,7,5
"224",2015-08-12,0,9,3,9,14,9,15,3,12
"225",2015-08-13,8,15,9,11,9,3,1,4,5
"226",2015-08-14,13,0,13,15,6,13,4,9,1
"227",2015-08-15,13,0,8,13,15,3,13,14,7
"228",2015-08-16,9,11,0,15,15,8,0,10,7
"229",2015-08-17,14,8,2,9,1,12,12,14,14
"230",2015-08-18,5,9,3,3,15,7,14,6,4
"231",2015-08-19,10,2,6,4,4,2,1,10,5
"232",2015-08-20,9,3,4,8,0,15,5,3,6
"233",2015-08-21,3,6,2,14,3,1,0,7,14
"234",2015-08-22,15,12,12,12,15,15,4,9,8
"235",2015-08-23,11,9,6,3,15,13,1,8,0
"236",2015-08-24,3,15,2,8,11,14,7,14,0
"237",2015-08-25,2,10,8,12,12,5,10,11,11
"238",2015-08-26,5,15,7,1,8,2,15,2,12
"239",2015-08-27,1,14,1,6,12,11,8,14,12
"240",NA,5,8,1,0,NA,NA,10,3,14
"241",2015-08-29,13,9,5,13,8,6,7,15,11
"242",NA,10,10,4,11,NA,NA,5,5,12
"243",2015-08-31,10,11,11,0,14,14,10,6,11
"244",2015-09-01,0,3,13,11,1,7,0,11,4
"245",2015-09-02,11,13,7,15,11,10,10,10,8
"246",2015-09-03,8,5,5,15,11,3,5,11,15
"247",2015-09-04,7,5,6,6,0,12,13,2,3
"248",2015-09-05,8,4,15,14,13,12,9,11,11
"249",2015-09-06,5,6,4,15,9,4,14,10,7
"250",2015-09-07,11,5,14,12,6,11,8,3,4
"251",2015-09-08,12,0,0,10,7,14,5,4,0
"252",2015-09-09,9,14,4,13,2,0,10,15,5
"253",2015-09-10,4,12,7,5,12,7,14,8,2
"254",2015-09-11,11,4,10,11,8,1,10,0,6
"255",2015-09-12,8,10,15,0,2,15,12,9,0
"256",2015-09-13,2,1,11,6,12,0,12,4,10
"257",2015-09-14,4,13,8,5,15,7,4,9,1
"258",2015-09-15,7,10,7,14,9,8,7,15,4
"259",2015-09-16,8,3,0,7,8,4,0,15,15
"260",2015-09-17,7,15,11,5,7,4,6,3,9
"261",2015-09-18,1,6,4,6,15,3,7,1,1
"262",2015-09-19,7,14,14,9,14,7,13,5,3
"263",NA,8,6,4,0,NA,NA,1,5,6
"264",2015-09-21,15,14,4,0,4,15,1,5,12
"265",2015-09-22,4,7,9,3,9,13,7,14,2
"266",2015-09-23,4,9,2,12,5,4,7,13,4
"267",2015-09-24,2,14,0,3,0,13,10,3,12
"268",2015-09-25,7,7,4,11,11,4,15,15,5
"269",2015-09-26,1,5,14,2,12,3,13,7,9
"270",2015-09-27,1,15,1,4,13,1,8,9,10
"271",2015-09-28,8,10,0,1,4,3,4,7,14
"272",2015-09-29,9,8,15,4,12,4,0,0,1
"273",2015-09-30,8,0,2,12,0,8,7,8,4
"274",2015-10-01,8,12,9,2,8,11,3,1,7
"275",2015-10-02,10,9,5,10,15,9,13,11,5
"276",2015-10-03,7,9,4,0,7,15,4,15,13
"277",2015-10-04,3,15,11,8,14,2,12,2,5
"278",2015-10-05,8,3,4,4,6,2,8,3,0
"279",2015-10-06,5,11,3,11,9,12,8,4,10
"280",2015-10-07,2,1,0,9,11,14,8,12,10
"281",2015-10-08,10,6,4,14,2,8,11,2,12
"282",2015-10-09,4,9,5,10,1,13,8,2,2
"283",2015-10-10,13,4,8,6,0,15,7,6,14
"284",2015-10-11,5,11,14,2,10,3,13,0,15
"285",2015-10-12,6,5,3,10,4,1,6,14,8
"286",2015-10-13,3,2,8,6,7,5,3,14,8
"287",2015-10-14,0,10,9,2,13,9,7,15,4
"288",2015-10-15,11,5,14,13,8,5,12,0,5
"289",2015-10-16,13,1,15,12,11,2,13,5,8
"290",2015-10-17,12,4,14,9,2,5,3,9,1
"291",2015-10-18,13,3,0,11,8,8,7,7,11
"292",2015-10-19,4,12,8,1,4,12,12,9,1
"293",2015-10-20,15,1,8,6,14,13,4,15,5
"294",2015-10-21,2,2,5,8,14,5,13,7,9
"295",2015-10-22,0,11,10,15,11,10,6,3,13
"296",2015-10-23,13,8,2,14,14,10,11,12,12
"297",2015-10-24,0,8,4,4,2,15,9,11,15
"298",2015-10-25,9,8,15,8,0,9,13,0,13
"299",2015-10-26,8,4,8,6,1,0,1,14,8
"300",2015-10-27,1,10,6,2,1,13,7,1,13
"301",2015-10-28,1,14,10,6,0,6,14,4,8
"302",2015-10-29,6,8,6,7,3,4,1,9,6
"303",2015-10-30,2,3,7,6,8,9,13,12,12
"304",2015-10-31,8,5,5,12,13,5,10,4,0
"305",2015-11-01,10,6,12,7,2,14,4,9,10
"306",2015-11-02,15,9,14,13,1,8,12,14,3
"307",2015-11-03,15,11,8,1,11,12,11,3,5
"308",2015-11-04,3,3,7,13,9,9,8,13,0
"309",2015-11-05,7,0,3,1,12,15,3,13,13
"310",2015-11-06,0,8,2,12,15,10,11,1,14
"311",2015-11-07,5,10,8,10,10,6,6,15,5
"312",2015-11-08,13,2,14,14,10,9,3,15,6
"313",2015-11-09,9,12,6,11,15,2,9,14,14
"314",2015-11-10,4,14,6,0,0,10,6,10,15
"315",2015-11-11,13,10,13,12,5,15,14,2,11
"316",2015-11-12,1,8,10,6,7,14,2,7,9
"317",2015-11-13,11,7,0,1,5,0,5,9,5
"318",2015-11-14,4,1,5,15,6,5,13,4,13
"319",2015-11-15,13,10,14,1,15,12,6,11,11
"320",2015-11-16,1,3,3,10,1,8,3,9,13
"321",2015-11-17,3,5,3,10,13,12,10,1,13
"322",2015-11-18,2,2,12,0,8,12,8,11,10
"323",2015-11-19,2,6,6,9,8,8,12,15,0
"324",2015-11-20,12,14,8,4,5,13,14,5,8
"325",2015-11-21,4,14,3,0,14,1,4,0,8
"326",2015-11-22,8,12,3,10,14,3,9,14,13
"327",2015-11-23,2,3,7,10,15,4,11,2,7
"328",2015-11-24,7,5,15,12,8,3,0,13,11
"329",2015-11-25,0,7,15,13,1,1,6,13,2
"330",2015-11-26,12,0,10,10,13,4,4,6,14
"331",2015-11-27,6,14,11,9,7,5,2,15,9
"332",2015-11-28,11,0,15,0,6,10,13,3,12
"333",2015-11-29,9,1,6,6,9,15,12,12,15
"334",2015-11-30,10,13,10,5,7,2,0,10,8
"335",2015-12-01,9,4,10,1,7,12,8,12,11
"336",2015-12-02,1,14,9,6,12,7,6,15,1
"337",2015-12-03,11,1,3,12,6,4,3,0,3
"338",2015-12-04,1,12,2,4,8,3,13,0,15
"339",2015-12-05,7,3,14,10,6,0,2,1,7
"340",2015-12-06,3,8,14,13,9,3,10,7,5
"341",2015-12-07,11,6,13,14,11,8,8,4,10
"342",2015-12-08,4,7,1,15,9,8,4,10,4
"343",2015-12-09,12,7,5,11,2,6,8,14,9
"344",2015-12-10,11,5,4,6,2,3,0,10,6
"345",2015-12-11,13,1,3,13,5,11,5,6,10
"346",2015-12-12,10,10,7,10,13,8,13,12,0
"347",2015-12-13,10,9,10,5,6,7,6,12,8
"348",2015-12-14,6,12,10,6,4,3,14,5,6
"349",2015-12-15,3,5,13,10,13,1,1,6,11
"350",2015-12-16,15,5,13,2,10,2,9,2,2
"351",2015-12-17,10,10,5,7,0,15,5,10,6
"352",2015-12-18,2,11,2,4,2,5,3,5,5
"353",2015-12-19,3,2,15,14,1,11,8,13,1
"354",2015-12-20,5,7,8,13,7,9,10,8,12
"355",2015-12-21,10,5,6,14,8,3,15,1,0
"356",2015-12-22,3,10,4,9,11,2,4,5,5
"357",2015-12-23,9,12,14,14,14,4,12,11,14
"358",2015-12-24,9,1,5,12,8,4,4,4,2
"359",2015-12-25,12,2,10,1,11,7,11,15,1
"360",2015-12-26,3,5,5,13,0,1,6,15,2
"361",2015-12-27,0,9,8,10,1,5,13,5,6
"362",2015-12-28,1,3,10,1,4,7,14,11,13
"363",2015-12-29,10,11,5,7,11,8,1,14,4
"364",2015-12-30,13,1,9,11,1,15,10,12,8
"365",2015-12-31,6,1,12,12,12,9,11,11,14
